CURRENCY_RK;DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;CURRENCY_CODE;CODE_ISO_CHAR
4586704;2011-09-06;2050-12-31;000;NON
50;2017-05-11;2050-12-31;356;INR
51;2017-05-11;2050-12-31;484;MXN
52;2017-05-11;2050-12-31;434;LYD
53;2017-05-11;2050-12-31;422;LBR
54;2017-05-11;2050-12-31;504;MAD
55;2017-05-11;2050-12-31;410;KRW
56;2017-05-11;2050-12-31;012;DZD
57;2017-05-11;2050-12-31;417;KGS
58;2017-05-11;2050-12-31;100;BGN
59;2017-05-11;2050-12-31;344;HKD
60;2017-05-11;2050-12-31;048;BHD
61;2017-05-11;2050-12-31;446;MOP
62;2017-05-11;2050-12-31;156;CNY
63;2017-05-11;2050-12-31;496;MNT
205699733;2017-05-11;2050-12-31;203;CZK
205699734;2017-05-11;2050-12-31;348;HUF
409611215;2017-05-11;2050-12-31;972;TJS
427870281;2017-05-11;2050-12-31;933;BYN
21;2017-05-11;2050-12-31;949;TRY
22;2017-05-11;2050-12-31;788;TND
23;2017-05-11;2050-12-31;292;GIB
24;2017-05-11;2050-12-31;784;AED
25;2017-05-11;2050-12-31;986;BRL
26;2017-05-11;2050-12-31;;
27;2017-05-11;2050-12-31;586;PKR
28;2017-05-11;2050-12-31;398;KZT
29;2017-05-11;2050-12-31;752;SEK
30;2017-05-11;2050-12-31;756;CHF
31;2017-05-11;2050-12-31;826;GBP
32;2017-05-11;2050-12-31;280;DEM
33;2017-05-11;2050-12-31;999;˜
34;2017-05-11;2050-12-31;643;RUB
35;2017-05-11;2050-12-31;840;USD
36;2017-05-11;2050-12-31;985;PLN
37;2017-05-11;2050-12-31;392;JPY
38;2017-05-11;2050-12-31;974;BYR
39;2017-05-11;2050-12-31;036;AUD
40;2017-05-11;2050-12-31;578;NOK
41;2017-05-11;2050-12-31;980;UAH
42;2017-05-11;2050-12-31;124;CAD
43;2017-05-11;2050-12-31;208;DKK
44;2017-05-11;2050-12-31;978;EUR
45;2017-05-11;2050-12-31;196;CYP
46;2017-05-11;2050-12-31;044;BHS
47;2017-05-11;2050-12-31;376;ILS
48;2017-05-11;2050-12-31;084;BZD
49;2017-05-11;2050-12-31;690;SCR
529511970;2017-12-12;2050-12-31;944;AZN
529511969;2017-12-12;2050-12-31;051;AMD
